no,text,polarity
17,RT Dari semua pemerintahan negara yang terkena wabah corona pemerintah Indonesia memiliki karakter yang berbeda,Neutral
18,Satpam amp virus Corona covid 19 kami jaga Indonesia dari sini kamu jaga Indonesia dari rumah https t co hXeKTmeqYS,Neutral
19,RT Video ajakan menangkal virus corona ini lucu dan mendidik dan juga penuh sindiran sisi lain dari kehidupan umat Hindu,Neutral
20,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
21,RT U ujian N nasional B batal K karena Corona,Neutral
22,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
23,RT jaran67 Coba bayangin kalau ini di terapkan dinegara kita 62 Kalian di anjurkan drmh agar negatif corona aja pada ngeyel Apa,Neutral
24,RT Hala tersebut membuat para petugas medis itu sempat menginap di rumah sakit kumparanViral https t co VmhndQLq4l,Neutral
25,RT Dirumah aja Negatif Corona Positif depresi,Neutral
26,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
27,RT Whoahhh Berarti Anggota DPR yang maksa test Corona duluan itu lebih GOBLOK DARIPADA PKS Bayangin Kurang hina apa,Negative
28,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
29,RT Gila Aku pikir ini batal setelah banyak yang protes Ternyata bener anggota DPR akan tes hari Jumat Pak yang m,Negative
30,RT Pahami Perbedaan Batuk Biasa dan Batuk Gejala Infeksi Virus Corona https t co MsgEs10mZ5,Positive
31,Para petarung UFC menyampaikan rasa empati kepada korban virus Corona Seperti Khabib Nurmagomedov yang memakai mas https t co 8Qbb2xJIAC,Positive
32,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
33,RT mampus remedial moral semua itu https t co OnlHzXKmsy,Negative
34,RT Warga AS Tewas Usai Tenggak Chloroquine untuk Cegah Corona https t co gNSJEgBCid,Neutral
35,RT jogja Penyemprotan cairan disinfektan di jalanan Jogja oleh Polda DIY sebagai antisipasi pencegahan penyebaran virus corona Teri,Neutral
36,RT TOLONG BANTU SHARE DONG GA TEGA AKU LIATNYA SEDANG ADA WABAH CORONA KAYAKGINI UNBK https t co 5xHsoEYYcx,Positive
37,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
38,RT Tengok member study lagi seram dari corona,Neutral
39,RT Ini UN di apus gara2 corona trus skripsi ga ada niatan di apus juga apa Semester 9 udah mulai kecium ini etdahhh,Negative
40,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
41,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
42,Ada yang bilang bener dirumah gak kena corona tapi malah depresi,Positive
43,RT https t co wp9ZLWnHHR Terimakasih PT Astra anda dan keluarga besar anda semoga semakin berjaya Terimakasih PT Warda,Negative
44,RT Saya minta rapit test kepada anggota DPR dibatalkan Yg utama adalah para medis yg bertugas di garis depan menangani pas,Positive
45,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
46,corona virus harusnya membuka mata bahwa sistem demokrasi kapitalisme yang diterapkan mengabaikan nyawa rakyat me https t co wR33YcK652,Positive
47,Lebih lucu yang tes corona dengan menghadap sinar matahari dan tahan nafas 10 detikkk yang ini kurangg,Neutral
48,RT azhar test Corona harus disusun prioritasnya utk yg rentan dan rakyat bukan mdahulukan pejabat Pantau gaes saat mewabah,Positive
49,Aktor The Walking Dead ini menghabiskan biaya hingga USD 9 116 atau sekitar Rp 150 juta untuk tes virus corona n https t co KbFM27KyC4,Neutral
50,RT Dirumah aja Negatif Corona Positif depresi,Neutral
51,Kita udh social distancing udh 2 bulan aku gabisa nyamperin kesana dan bgtupun dia efek corona he said it wil https t co e9ScuVquTb,Positive
52,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
53,Sapa taw yg korupsi kena corona juga kan mayan tuh ngurangi koruptor di indo,Negative
54,RT jsp Pagi barusan saya di WA teman saya Angga dr Gunung Kidul Dari percakapan pendek ini semoga kita semakin memahami arti pen,Neutral
55,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
56,RT kesenjangan sosial yang nyata diperlihatkan oleh berita ini https t co nmo6Y8QsOk,Neutral
57,RT mampus remedial moral semua itu https t co OnlHzXKmsy,Negative
58,Pemprov DKI Jakarta telat mengumumkan hasil Seleksi Kompetensi Dasar SKD CPNS imbas mewabahnya virus corona Covi https t co BJx7XUM0f3,Neutral
59,RT piyuuu Keren banget Begini metode Belajar di Rumah di Turki saat Wabah Corona Pemerintah Turki menyiarkan pelajaran sekolah d,Neutral
60,RT corona world tournya udahan dong mau main sm temen2,Positive
61,RT Virus Corona Ekonomi India Terparah setelah Lockdown Diumumkan https t co fUQkf6wc26,Neutral
62,RT Polri Akan Bubarkan Kerumunan untuk Cegah Corona BubarkanCegahCorona https t co 99fS18RqRC,Positive
63,RT jsp Pagi barusan saya di WA teman saya Angga dr Gunung Kidul Dari percakapan pendek ini semoga kita semakin memahami arti pen,Neutral
64,RT Meskipun alat testnya beli sendiri tapi jangan lupa uang utk membelinya berasal dari rakyat Saat yg tepat bagi anggota,Negative
65,RT Mustahil Covid 19 akan sembuh sebelum ramadhan Tgok angka setiap hari yang cecah 100 mustahil utk kita kekang corona Ak,Neutral
66,RT Polri Akan Bubarkan Kerumunan untuk Cegah Corona BubarkanCegahCorona https t co 99fS18RqRC,Positive
67,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
68,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
69,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
70,RT Salah satu yang juga menakutkan dari virus Corona adalah sikap orang orang yang tak peduli bebal dan egois https t co WB,Positive
71,RT Gak usah heran klo DKI Juara utk yg tertular Corona Krn himbauan hanya sekedar Bacotan Tapi kenyataan di lapangan seb,Positive
72,RT Guru Besar UGM Meninggal Dunia Usai Positif Virus Corona https t co 6NXVRgfGEd,Neutral
73,RT Resmi Presiden Jokowi memutuskan meniadakan Ujian Nasional UN 2020 karena wabah corona kumpmaranNews https t co EtPxn0,Neutral
74,RT Pimpinan daerah serta anggota DPRD tidak sadar beberapa orang atau pihak yang menjadi carrier pembawa virus corona hingga,Neutral
75,RT Dirumah aja Negatif Corona Positif depresi,Neutral
76,RT enak y punya pacar gue corona g corona yg bisa dipeluk cuma agama,Neutral
77,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
78,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
79,RT Dengan dampak dari virus corona Covid 19 dan dipenuhi dengan ketakutan untuk masa depan yang tidak pasti disertai kebingun,Positive
80,RT Potret Memilukan Pemakaman Massal Pasien Virus Corona https t co p6tIepCxGt,Neutral
81,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
82,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
83,RT Alhamdullilah pesawat C 130 Hercules TNI AU sudah landing di Bandara Pudong Shanghai menjemput obat obatan dan alat kesehatan,Positive
84,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
85,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
86,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
87,RT DPR lebih butuh tes urine daripada tes corona,Neutral
88,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
89,RT Di situasi corona ini jangan sampai menggudangkan makanan masker dll Liat bagaimana perasaan kakek ini Yuk kita d,Neutral
90,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
91,Berasa pengen ngetag virus corona,Neutral
92,RT Bawah Lebih parah bisa njing Karena apa Nih karena pas rame2nya corona Wakil Rakyatnya gini Yakan ajng https,Negative
93,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
94,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
95,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
96,AutoLoan min Apakah ada keringanan untuk angsuran selama ada wabah virus corona ini Kebetulan sy driver go https t co PwHG5QLcmF,Neutral
97,RT Dirumah aja Negatif Corona Positif depresi,Neutral
98,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
99,RT Tokopedia OVO dan Grab mendonasikan masing masing Rp 1 miliar total Rp 3 miliar untuk membantu memerangi COVID 19 https,Positive
100,RT mampus remedial moral semua itu https t co OnlHzXKmsy,Neutral
101,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
102,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
103,RT Tes corona yang di Jaksel mau dimulai kapan Trus biar bisa ikut tes gmn caranya,Positive
104,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
105,RT Dirumah aja Negatif Corona Positif depresi,Neutral
106,RT Kalo corona udah hilang pokoknya aku mau jalan2 ke mall nonton nongkrong di cafe terus gandengan tangan sama kamu,Positive
107,RT Warga AS Tewas Usai Tenggak Chloroquine untuk Cegah Corona https t co gNSJEgBCid,Neutral
108,RT Dirumah aja Negatif Corona Positif depresi,Neutral
109,RT Video ajakan menangkal virus corona ini lucu dan mendidik dan juga penuh sindiran sisi lain dari kehidupan umat Hindu,Neutral
110,RT Dirumah aja Negatif Corona Positif depresi,Neutral
111,Harmonica For Corona Victim Mari Hening Cipta Selamat Jalan Untuk Semua Korban Yang Meninggal Dunia Akibat Virus https t co Onf9ErmGL5,Positive
112,RT PBSI mengabarkan bahwa saat ini Hendri Saputra sedang diisolasi di RS PELNI Jakarta Barat kumparanSPORT https t co 8xFA8,Neutral
113,RT Guru Besar UGM Yogyakarta Iwan Dwiprahasto yang telah dirawat beberapa hari karena positif terinfeksi virus Corona meninggal d,Neutral
114,RT Data pasien positif corona di Indonesia mencapai 579 orang Akibat hal ini paranormal asal Surabaya yang mengklaim dirinya P,Neutral
115,RT didu MAHARAN1 AnjingPeking itu telah berbuat kapan ya orang yg merasa suci https t co sYz59pxvTz,Negative
116,RT Ini kalo Bang yg Ngomong Yaqin Bakal Di Bully Rame2 Dari Segala Penjuru Indonesia Raya Sama Gerombolan G,Negative
117,Nadiem Makarim dan DPR Sepakat UN Ditiadakan Kelulusan Kemungkinan Ditentukan dari Nilai Rapor https t co UsToOhX5RF,Neutral
118,RT Seiring informasi yang kami terima Ada instruksi untuk mengurangi data tingkat kematian dgn menutupi fakta data yg meningg,Negative
119,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
120,RT Tengok member study lagi seram dari corona,Neutral
121,Gerakan Nasional Demokrat Lawan Corona Ketum DPP Partai Demokrat Keluarkan Surat Instruksi https t co wSniDJIyZD lewat,Neutral
122,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
123,RT Dear Pak ini saran mumpung di Bali tanggal 25 Maret ini Nyepi yuk sekalian seluruh Indonesia diajak ikut Nyepi se,Positive
124,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
125,RT Melakukan eksperimen dengan menenggak cairan pembersih yang mengandung chloroquine untuk mencegah terkena virus coron,Negative
126,RT Anggota dpr dites corona malah positif korupsi,Negative
127,Gue denger berita berita kematian karena corona jadi banjir begini ajg,Negative
128,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
129,RT Video ajakan menangkal virus corona ini lucu dan mendidik dan juga penuh sindiran sisi lain dari kehidupan umat Hindu,Neutral
130,Gagal sempro minggu ini gagal penelitian awal April Semoga wabah corona segera berakhir,Neutral
131,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
132,RT Kemampuan memanipulasi yang dimiliki penguasa kini diuji kembali Dahulu manipulasi data pilpres kini data virus corona pu,Negative
133,Pemkot Surabaya Buka Peta Sebaran Virus Corona https t co lERecdUnbg,Neutral
134,RT IDI menilai masyarakat yang termasuk orang dalam pemantauan ODP lebih prioritas dites ketimbang anggota DPR kumparanNews,Positive
135,SABAR DAN SHOLAT Tetaplah Tenang Bismillah Di tengah kabar berita Wabah Virus Covid 19 Corona cov d19 corona https t co kh4yxRft3X,Positive
136,RT Bagaimana membantu masyarakat bawah ditengah wabah Corona Ngomongin yg beginian gue lebih suka drpd bedebat di Tv dgn L,Negative
137,RT Dari semua pemerintahan negara yang terkena wabah corona pemerintah Indonesia memiliki karakter yang berbeda,Neutral
138,Satpam amp virus Corona covid 19 kami jaga Indonesia dari sini kamu jaga Indonesia dari rumah https t co hXeKTmeqYS,Neutral
139,RT Video ajakan menangkal virus corona ini lucu dan mendidik dan juga penuh sindiran sisi lain dari kehidupan umat Hindu,Neutral
140,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
141,RT U ujian N nasional B batal K karena Corona,Neutral
142,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
143,RT jaran67 Coba bayangin kalau ini di terapkan dinegara kita 62 Kalian di anjurkan drmh agar negatif corona aja pada ngeyel Apa,Neutral
144,RT Hala tersebut membuat para petugas medis itu sempat menginap di rumah sakit kumparanViral https t co VmhndQLq4l,Neutral
145,RT Dirumah aja Negatif Corona Positif depresi,Neutral
146,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
147,RT Whoahhh Berarti Anggota DPR yang maksa test Corona duluan itu lebih GOBLOK DARIPADA PKS Bayangin Kurang hina apa,Negative
148,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
149,RT Gila Aku pikir ini batal setelah banyak yang protes Ternyata bener anggota DPR akan tes hari Jumat Pak yang m,Negative
150,RT Pahami Perbedaan Batuk Biasa dan Batuk Gejala Infeksi Virus Corona https t co MsgEs10mZ5,Positive
151,Para petarung UFC menyampaikan rasa empati kepada korban virus Corona Seperti Khabib Nurmagomedov yang memakai mas https t co 8Qbb2xJIAC,Positive
152,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
153,RT mampus remedial moral semua itu https t co OnlHzXKmsy,Negative
154,RT Warga AS Tewas Usai Tenggak Chloroquine untuk Cegah Corona https t co gNSJEgBCid,Neutral
155,RT jogja Penyemprotan cairan disinfektan di jalanan Jogja oleh Polda DIY sebagai antisipasi pencegahan penyebaran virus corona Teri,Neutral
156,RT TOLONG BANTU SHARE DONG GA TEGA AKU LIATNYA SEDANG ADA WABAH CORONA KAYAKGINI UNBK https t co 5xHsoEYYcx,Positive
157,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
158,RT Tengok member study lagi seram dari corona,Neutral
159,RT Ini UN di apus gara2 corona trus skripsi ga ada niatan di apus juga apa Semester 9 udah mulai kecium ini etdahhh,Negative
160,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
161,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
162,Ada yang bilang bener dirumah gak kena corona tapi malah depresi,Positive
163,RT https t co wp9ZLWnHHR Terimakasih PT Astra anda dan keluarga besar anda semoga semakin berjaya Terimakasih PT Warda,Negative
164,RT Saya minta rapit test kepada anggota DPR dibatalkan Yg utama adalah para medis yg bertugas di garis depan menangani pas,Positive
165,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
166,corona virus harusnya membuka mata bahwa sistem demokrasi kapitalisme yang diterapkan mengabaikan nyawa rakyat me https t co wR33YcK652,Positive
167,Lebih lucu yang tes corona dengan menghadap sinar matahari dan tahan nafas 10 detikkk yang ini kurangg,Neutral
168,RT azhar test Corona harus disusun prioritasnya utk yg rentan dan rakyat bukan mdahulukan pejabat Pantau gaes saat mewabah,Positive
169,Aktor The Walking Dead ini menghabiskan biaya hingga USD 9 116 atau sekitar Rp 150 juta untuk tes virus corona n https t co KbFM27KyC4,Neutral
170,RT Dirumah aja Negatif Corona Positif depresi,Neutral
171,Kita udh social distancing udh 2 bulan aku gabisa nyamperin kesana dan bgtupun dia efek corona he said it wil https t co e9ScuVquTb,Positive
172,RT Bukan masalah izin sih Ini masalah kesadaran diri dan tidak egois memikirkan kepentingan yg lain bukan cuma utk diri sendiri,Positive
173,Sapa taw yg korupsi kena corona juga kan mayan tuh ngurangi koruptor di indo,Negative
174,RT jsp Pagi barusan saya di WA teman saya Angga dr Gunung Kidul Dari percakapan pendek ini semoga kita semakin memahami arti pen,Neutral
175,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
176,RT kesenjangan sosial yang nyata diperlihatkan oleh berita ini https t co nmo6Y8QsOk,Neutral
177,RT mampus remedial moral semua itu https t co OnlHzXKmsy,Negative
178,Pemprov DKI Jakarta telat mengumumkan hasil Seleksi Kompetensi Dasar SKD CPNS imbas mewabahnya virus corona Covi https t co BJx7XUM0f3,Neutral
179,RT piyuuu Keren banget Begini metode Belajar di Rumah di Turki saat Wabah Corona Pemerintah Turki menyiarkan pelajaran sekolah d,Neutral
180,RT corona world tournya udahan dong mau main sm temen2,Neutral
181,RT Virus Corona Ekonomi India Terparah setelah Lockdown Diumumkan https t co fUQkf6wc26,Neutral
182,RT Polri Akan Bubarkan Kerumunan untuk Cegah Corona BubarkanCegahCorona https t co 99fS18RqRC,Positive
183,RT jsp Pagi barusan saya di WA teman saya Angga dr Gunung Kidul Dari percakapan pendek ini semoga kita semakin memahami arti pen,Neutral
184,RT Meskipun alat testnya beli sendiri tapi jangan lupa uang utk membelinya berasal dari rakyat Saat yg tepat bagi anggota,Negative
185,RT Mustahil Covid 19 akan sembuh sebelum ramadhan Tgok angka setiap hari yang cecah 100 mustahil utk kita kekang corona Ak,Neutral
186,RT Polri Akan Bubarkan Kerumunan untuk Cegah Corona BubarkanCegahCorona https t co 99fS18RqRC,Positive
187,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
188,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
189,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
190,RT Salah satu yang juga menakutkan dari virus Corona adalah sikap orang orang yang tak peduli bebal dan egois https t co WB,Positive
191,RT Gak usah heran klo DKI Juara utk yg tertular Corona Krn himbauan hanya sekedar Bacotan Tapi kenyataan di lapangan seb,Negative
192,RT Guru Besar UGM Meninggal Dunia Usai Positif Virus Corona https t co 6NXVRgfGEd,Neutral
193,RT Resmi Presiden Jokowi memutuskan meniadakan Ujian Nasional UN 2020 karena wabah corona kumpmaranNews https t co EtPxn0,Neutral
194,RT Pimpinan daerah serta anggota DPRD tidak sadar beberapa orang atau pihak yang menjadi carrier pembawa virus corona hingga,Neutral
195,RT Dirumah aja Negatif Corona Positif depresi,Neutral
196,RT WHO MLIPUKO WA CORONAVIRUS UNAZIDI KUSHIKA KASI gt Ilichukua siku 67 kwa Maambukizi kufika 100 000 lakini imechukua siku,Neutral
197,RT BreakingNews Presiden Jokowi memutuskan untuk meniadakan pelaksanaan ujian nasional UN tahun 2020 Keputusan ini untuk men,Neutral
198,RT Bagaimana membantu masyarakat bawah ditengah wabah Corona Ngomongin yg beginian gue lebih suka drpd bedebat di Tv dgn L,Negative
199,RT Kalian stay di rumah itu gak cuma untuk diri kalian tapi untuk orang lain juga Kalian gak takut kena corona gakpapa,Positive
200,Di himbau acuh Pas pstf corona nyalahin pemerintah,Positive
201,RT Anggota dpr dites corona malah positif korupsi,Negative
202,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
203,Cuy bro mba kak kelayapan kalian gabakal bikin keren masih ada besok besok kalo mau nongkrong mah Seka https t co QynHUkjA8S,Negative
204,Kemaren waktu udah ada corona kita anak SMK juga tetep UNBK sumpah kek anak tiri,Negative
205,SEBAIKNYA PEMERINTAH MEMBUAT PERATURAN ORANG2 YG MEREMEHKAN VIRUS CORONA MERASA KEBAL DLL AGAR MENDAFTARKAN D https t co 914n09VGxf,Positive
206,RT Jokowi Soroti Pasien Corona Bantu Hajatan dan Pergi ke Pasar https t co thddzkuqlw,Positive
207,RT Tengok member study lagi seram dari corona,Neutral
208,dear corona yuk pulang yuk,Negative
209,RT Plz ini siapa yg nyebarin info anjer ke nyokap dikasih bawang merah dikamar biar nangkal corona nangkal corona kaga nangis,Negative
210,corona belum clear pacarnya mati duluan kena corona https t co mL1GVetWLk,Negative
211,RT Dirumah aja Negatif Corona Positif depresi,Neutral
212,RT Video ajakan menangkal virus corona ini lucu dan mendidik dan juga penuh sindiran sisi lain dari kehidupan umat Hindu,Neutral
213,RT Ceramah beliau Al Habib Husen bin Thoha Ba agil Tuban Sebelum adanya corona COVID 19 TerimakasihParamedisIndonesia ht,Neutral
214,RT Tokopedia OVO dan Grab mendonasikan masing masing Rp 1 miliar total Rp 3 miliar untuk membantu memerangi COVID 19 https,Positive
215,RT mampus remedial moral semua itu https t co OnlHzXKmsy,Negative
216,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
217,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
218,RT Tes corona yang di Jaksel mau dimulai kapan Trus biar bisa ikut tes gmn caranya,Positive
219,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
220,RT Dirumah aja Negatif Corona Positif depresi,Neutral
221,RT Kalo corona udah hilang pokoknya aku mau jalan2 ke mall nonton nongkrong di cafe terus gandengan tangan sama kamu,Positive
222,RT Warga AS Tewas Usai Tenggak Chloroquine untuk Cegah Corona https t co gNSJEgBCid,Neutral
223,RT Dirumah aja Negatif Corona Positif depresi,Neutral
224,RT Video ajakan menangkal virus corona ini lucu dan mendidik dan juga penuh sindiran sisi lain dari kehidupan umat Hindu,Neutral
225,RT Dirumah aja Negatif Corona Positif depresi,Neutral
226,Harmonica For Corona Victim Mari Hening Cipta Selamat Jalan Untuk Semua Korban Yang Meninggal Dunia Akibat Virus https t co Onf9ErmGL5,Positive
227,RT PBSI mengabarkan bahwa saat ini Hendri Saputra sedang diisolasi di RS PELNI Jakarta Barat kumparanSPORT https t co 8xFA8,Neutral
228,RT Guru Besar UGM Yogyakarta Iwan Dwiprahasto yang telah dirawat beberapa hari karena positif terinfeksi virus Corona meninggal d,Neutral
229,RT Data pasien positif corona di Indonesia mencapai 579 orang Akibat hal ini paranormal asal Surabaya yang mengklaim dirinya P,Neutral
230,RT didu MAHARAN1 AnjingPeking itu telah berbuat kapan ya orang yg merasa suci https t co sYz59pxvTz,Negative
231,RT Ini kalo Bang yg Ngomong Yaqin Bakal Di Bully Rame2 Dari Segala Penjuru Indonesia Raya Sama Gerombolan G,Negative
232,Nadiem Makarim dan DPR Sepakat UN Ditiadakan Kelulusan Kemungkinan Ditentukan dari Nilai Rapor https t co UsToOhX5RF,Neutral
233,RT Seiring informasi yang kami terima Ada instruksi untuk mengurangi data tingkat kematian dgn menutupi fakta data yg meningg,Negative
234,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
235,RT Tengok member study lagi seram dari corona,Neutral
